parent;predicate;child;parentLabel;childLabel
http://data.europa.eu/esco/isco/C2266;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/8021f3a2-e3de-43c0-b366-075da74dc5b7;Audiologen en logopedisten;logopedist
http://data.europa.eu/esco/isco/C3324;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/3ac7fbb4-91b2-4d4d-abc8-7a6c55ed648f;Commissionairs;groothandelaar
http://data.europa.eu/esco/isco/C2619;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/76884a72-d8b8-4819-bd40-71d6420a9a42;Juristen, niet elders geclassificeerd;jurycoördinator
http://data.europa.eu/esco/isco/C3141;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/4fef1907-cf82-413b-841a-02ef57e299a6;Technici op het gebied van de biowetenschappen (m.u.v. medisch);technicus wetenschappelijk laboratorium
http://data.europa.eu/esco/isco/C7412;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/6656337f-67eb-4f48-b1e4-ecccdfa44dd2;Installateurs van elektrische apparatuur;auto-elektricien
http://data.europa.eu/esco/isco/C9612;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/4ed9ce62-75d4-4b05-80d4-e86528fecdcd;Vuilnissorteerders;recyclingmedewerker
http://data.europa.eu/esco/isco/C9612;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/ff8d4065-db44-47c7-a4bd-51b3c306ef70;Vuilnissorteerders;afvalsorteerder
http://data.europa.eu/esco/isco/C3352;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/4a39fddb-17e7-4431-be03-613edab8d1c8;Ambtenaren: belastingen en accijnzen;ontvanger
http://data.europa.eu/esco/isco/C2422;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8;Specialisten op het gebied van beleidsadministratie;beleidsmedewerker
http://data.europa.eu/esco/isco/C2511;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8;Systeemanalisten;ict consultant
http://data.europa.eu/esco/isco/C5131;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/d5db9d5c-2ebf-4a54-a79a-1b7e7ff70471;Kelners;ober/serveerster
http://data.europa.eu/esco/isco/C4213;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/631aaef2-2d67-45c6-93a6-1b1abdf57542;Lommerdhouders en geldschieters;pandhuishouder
