head;relation;tail
gambling quality assurance engineer;broadMatch;mathematicians, actuaries and statisticians
mathematicians, actuaries and statisticians;narrowMatch;gambling quality assurance engineer
mathematician;broadMatch;mathematicians, actuaries and statisticians
mathematicians, actuaries and statisticians;narrowMatch;mathematician
statistician;broadMatch;mathematicians, actuaries and statisticians
mathematicians, actuaries and statisticians;narrowMatch;statistician
demographer;broadMatch;mathematicians, actuaries and statisticians
mathematicians, actuaries and statisticians;narrowMatch;demographer
knowledge engineer;broadMatch;database and network professionals not elsewhere classified
halal slaughterer;broadMatch;slaughterer
kosher slaughterer;broadMatch;slaughterer
slaughterer;narrowMatch;kosher slaughterer
wood drying kiln operator;broadMatch;wood treaters
wood treaters;narrowMatch;wood drying kiln operator
wood treater;broadMatch;wood treaters
wood treaters;narrowMatch;wood treater
chief ict security officer;broadMatch;database and network professionals not elsewhere classified
database and network professionals not elsewhere classified;narrowMatch;chief ict security officer
digital forensics expert;broadMatch;database and network professionals not elsewhere classified
database and network professionals not elsewhere classified;narrowMatch;digital forensics expert
embedded systems security engineer;broadMatch;database and network professionals not elsewhere classified
slaughterer;narrowMatch;halal slaughterer
mine supervisor;broadMatch;mining supervisors
embalmer;broadMatch;undertakers and embalmers
cemetery attendant;broadMatch;undertakers and embalmers
art director;narrowMatch;casting director
production designer;broadMatch;art director
art director;narrowMatch;production designer
stage director;broadMatch;art director
art director;narrowMatch;stage director
technical director;broadMatch;art director
art director;narrowMatch;technical director
animation director;broadMatch;art director
art director;narrowMatch;animation director
director of photography;broadMatch;art director
art director;narrowMatch;director of photography
casting director;broadMatch;art director
checkout supervisor;broadMatch;shop supervisor
shop supervisor;broadMatch;shop supervisors
shop supervisors;narrowMatch;shop supervisor
ict security technician;broadMatch;information and communications technology user support technicians
information and communications technology user support technicians;narrowMatch;ict security technician
ict help desk manager;broadMatch;information and communications technology user support technicians
information and communications technology user support technicians;narrowMatch;ict help desk manager
ict help desk agent;broadMatch;information and communications technology user support technicians
information and communications technology user support technicians;narrowMatch;ict help desk agent
ict technician;broadMatch;information and communications technology user support technicians
information and communications technology user support technicians;narrowMatch;ict technician
mine shift manager;broadMatch;mine supervisor
shop supervisor;narrowMatch;checkout supervisor
undertakers and embalmers;narrowMatch;embalmer
art director;narrowMatch;performance lighting director
art director;narrowMatch;video and motion picture director
undertakers and embalmers;narrowMatch;cemetery attendant
funeral attendant;broadMatch;undertakers and embalmers
undertakers and embalmers;narrowMatch;funeral attendant
leather goods packing operator;broadMatch;packing, bottling and labelling machine operators
packing, bottling and labelling machine operators;narrowMatch;leather goods packing operator
canning and bottling line operator;broadMatch;packing, bottling and labelling machine operators
packing, bottling and labelling machine operators;narrowMatch;canning and bottling line operator
cigar brander;broadMatch;packing, bottling and labelling machine operators
packing, bottling and labelling machine operators;narrowMatch;cigar brander
heat sealing machine operator;broadMatch;packing, bottling and labelling machine operators
packing, bottling and labelling machine operators;narrowMatch;heat sealing machine operator
performance lighting director;broadMatch;art director
cylinder filler;broadMatch;packing, bottling and labelling machine operators
packaging and filling machine operator;broadMatch;packing, bottling and labelling machine operators
packing, bottling and labelling machine operators;narrowMatch;packaging and filling machine operator
footwear finishing and packing operator;broadMatch;packing, bottling and labelling machine operators
packing, bottling and labelling machine operators;narrowMatch;footwear finishing and packing operator
domestic butler;broadMatch;domestic housekeeper
domestic housekeeper;narrowMatch;domestic butler
bed and breakfast operator;broadMatch;domestic housekeepers
domestic housekeepers;narrowMatch;bed and breakfast operator
domestic housekeeper;broadMatch;domestic housekeepers
domestic housekeepers;narrowMatch;domestic housekeeper
video and motion picture director;broadMatch;art director
packing, bottling and labelling machine operators;narrowMatch;cylinder filler
historian;broadMatch;philosophers, historians and political scientists
philosophers, historians and political scientists;narrowMatch;political scientist
political scientist;broadMatch;philosophers, historians and political scientists
teachers’ aides;broadMatch;child care workers and teachers’ aides
child care workers and teachers’ aides;narrowMatch;teachers’ aides
child care workers;broadMatch;child care workers and teachers’ aides
child care workers and teachers’ aides;narrowMatch;child care workers
youth information worker;broadMatch;youth worker
youth worker;narrowMatch;youth information worker
hotel managers;broadMatch;hotel and restaurant managers
hotel and restaurant managers;narrowMatch;hotel managers
restaurant managers;broadMatch;hotel and restaurant managers
hotel and restaurant managers;narrowMatch;restaurant managers
sports, recreation and cultural centre managers;broadMatch;other services managers
other services managers;narrowMatch;sports, recreation and cultural centre managers
services managers not elsewhere classified;broadMatch;other services managers
other services managers;narrowMatch;services managers not elsewhere classified
category manager;broadMatch;sales manager
sales manager;narrowMatch;category manager
online sales channel manager;broadMatch;sales manager
sales manager;narrowMatch;online sales channel manager
licensing manager;broadMatch;sales manager
sales manager;narrowMatch;licensing manager
motor vehicle aftersales manager;broadMatch;sales manager
sales manager;narrowMatch;motor vehicle aftersales manager
human resource managers;broadMatch;business services and administration managers
personal care workers in health services;narrowMatch;health care assistants
health care assistants;broadMatch;personal care workers in health services
personal care workers in health services;narrowMatch;personal care workers in health services not elsewhere classified
personal care workers in health services not elsewhere classified;broadMatch;personal care workers in health services
dairy-products makers;broadMatch;food processing and related trades workers
food processing and related trades workers;narrowMatch;dairy-products makers
bakers, pastry-cooks and confectionery makers;broadMatch;food processing and related trades workers
food processing and related trades workers;narrowMatch;bakers, pastry-cooks and confectionery makers
wood treaters;broadMatch;wood treaters, cabinet-makers and related trades workers
wood treaters, cabinet-makers and related trades workers;narrowMatch;wood treaters
woodworking-machine tool setters and operators;broadMatch;wood treaters, cabinet-makers and related trades workers
wood treaters, cabinet-makers and related trades workers;narrowMatch;woodworking-machine tool setters and operators
cabinet-makers and related workers;broadMatch;wood treaters, cabinet-makers and related trades workers
wood treaters, cabinet-makers and related trades workers;narrowMatch;cabinet-makers and related workers
statistical, finance and insurance clerks;broadMatch;numerical clerks
business services and administration managers;narrowMatch;human resource managers
numerical clerks;narrowMatch;statistical, finance and insurance clerks
numerical clerks;narrowMatch;accounting and bookkeeping clerks
payroll clerks;broadMatch;numerical clerks
numerical clerks;narrowMatch;payroll clerks
production clerks;broadMatch;material-recording and transport clerks
material-recording and transport clerks;narrowMatch;production clerks
transport clerks;broadMatch;material-recording and transport clerks
material-recording and transport clerks;narrowMatch;transport clerks
stock clerks;broadMatch;material-recording and transport clerks
material-recording and transport clerks;narrowMatch;stock clerks
home-based personal care workers;broadMatch;personal care workers in health services
personal care workers in health services;narrowMatch;home-based personal care workers
accounting and bookkeeping clerks;broadMatch;numerical clerks
finance managers;broadMatch;business services and administration managers
business services and administration managers;narrowMatch;finance managers
business services and administration managers not elsewhere classified;broadMatch;business services and administration managers
managers;narrowMatch;hospitality, retail and other services managers
administrative and commercial managers;broadMatch;managers
managers;narrowMatch;administrative and commercial managers
business services and administration managers;broadMatch;administrative and commercial managers
administrative and commercial managers;narrowMatch;business services and administration managers
sales, marketing and development managers;broadMatch;administrative and commercial managers
administrative and commercial managers;narrowMatch;sales, marketing and development managers
advertising and public relations managers;broadMatch;sales, marketing and development managers
sales, marketing and development managers;narrowMatch;advertising and public relations managers
research and development managers;broadMatch;sales, marketing and development managers
sales, marketing and development managers;narrowMatch;research and development managers
hospitality, retail and other services managers;broadMatch;managers
sales and marketing managers;broadMatch;sales, marketing and development managers
non-commissioned armed forces officers;broadMatch;armed forces occupations
armed forces occupations;narrowMatch;non-commissioned armed forces officers
armed forces occupations, other ranks;broadMatch;armed forces occupations
armed forces occupations;narrowMatch;armed forces occupations, other ranks
commissioned armed forces officers;broadMatch;armed forces occupations
armed forces occupations;narrowMatch;commissioned armed forces officers
nursing associate professionals;broadMatch;nursing and midwifery associate professionals
nursing and midwifery associate professionals;narrowMatch;nursing associate professionals
midwifery associate professionals;broadMatch;nursing and midwifery associate professionals
nursing and midwifery associate professionals;narrowMatch;midwifery associate professionals
pharmaceutical technicians and assistants;broadMatch;medical and pharmaceutical technicians
sales, marketing and development managers;narrowMatch;sales and marketing managers
food processing and related trades workers;narrowMatch;butchers, fishmongers and related food preparers
managers;narrowMatch;production and specialised services managers
managers;narrowMatch;chief executives, senior officials and legislators
business services and administration managers;narrowMatch;business services and administration managers not elsewhere classified
policy and planning managers;broadMatch;business services and administration managers
business services and administration managers;narrowMatch;policy and planning managers
managing directors and chief executives;broadMatch;chief executives, senior officials and legislators
chief executives, senior officials and legislators;narrowMatch;managing directors and chief executives
legislators and senior officials;broadMatch;chief executives, senior officials and legislators
chief executives, senior officials and legislators;narrowMatch;legislators and senior officials
information and communications technology service managers;broadMatch;production and specialised services managers
production and specialised services managers;narrowMatch;information and communications technology service managers
production managers in agriculture, forestry and fisheries;broadMatch;production and specialised services managers
production and specialised services managers;narrowMatch;production managers in agriculture, forestry and fisheries
production and specialised services managers;broadMatch;managers
manufacturing, mining, construction, and distribution managers;broadMatch;production and specialised services managers
professional services managers;broadMatch;production and specialised services managers
production and specialised services managers;narrowMatch;professional services managers
hotel and restaurant managers;broadMatch;hospitality, retail and other services managers
hospitality, retail and other services managers;narrowMatch;hotel and restaurant managers
other services managers;broadMatch;hospitality, retail and other services managers
hospitality, retail and other services managers;narrowMatch;other services managers
retail and wholesale trade managers;broadMatch;hospitality, retail and other services managers
hospitality, retail and other services managers;narrowMatch;retail and wholesale trade managers
sales manager;broadMatch;marketing manager
marketing manager;narrowMatch;sales manager
chief executives, senior officials and legislators;broadMatch;managers
production and specialised services managers;narrowMatch;manufacturing, mining, construction, and distribution managers
butchers, fishmongers and related food preparers;broadMatch;food processing and related trades workers
food processing and related trades workers;narrowMatch;tobacco preparers and tobacco products makers
tobacco preparers and tobacco products makers;broadMatch;food processing and related trades workers
bus and tram drivers;broadMatch;heavy truck and bus drivers
heavy truck and bus drivers;narrowMatch;bus and tram drivers
mobile farm and forestry plant operators;broadMatch;mobile plant operators
mobile plant operators;narrowMatch;mobile farm and forestry plant operators
lifting truck operators;broadMatch;mobile plant operators
mobile plant operators;narrowMatch;lifting truck operators
crane, hoist and related plant operators;broadMatch;mobile plant operators
mobile plant operators;narrowMatch;crane, hoist and related plant operators
earthmoving and related plant operators;broadMatch;mobile plant operators
mobile plant operators;narrowMatch;earthmoving and related plant operators
railway brake, signal and switch operators;broadMatch;locomotive engine drivers and related workers
heavy truck and bus drivers;narrowMatch;heavy truck and lorry drivers
locomotive engine drivers and related workers;narrowMatch;railway brake, signal and switch operators
locomotive engine drivers and related workers;narrowMatch;locomotive engine drivers
photographers;broadMatch;artistic, cultural and culinary associate professionals
artistic, cultural and culinary associate professionals;narrowMatch;photographers
gallery, museum and library technicians;broadMatch;artistic, cultural and culinary associate professionals
artistic, cultural and culinary associate professionals;narrowMatch;gallery, museum and library technicians
interior designers and decorators;broadMatch;artistic, cultural and culinary associate professionals
artistic, cultural and culinary associate professionals;narrowMatch;interior designers and decorators
other artistic and cultural associate professionals;broadMatch;artistic, cultural and culinary associate professionals
artistic, cultural and culinary associate professionals;narrowMatch;other artistic and cultural associate professionals
chefs;broadMatch;artistic, cultural and culinary associate professionals
artistic, cultural and culinary associate professionals;narrowMatch;chefs
locomotive engine drivers;broadMatch;locomotive engine drivers and related workers
religious associate professionals;broadMatch;legal, social and religious associate professionals
heavy truck and lorry drivers;broadMatch;heavy truck and bus drivers
car, taxi and van drivers;broadMatch;car, van and motorcycle drivers
mining managers;broadMatch;manufacturing, mining, construction, and distribution managers
manufacturing, mining, construction, and distribution managers;narrowMatch;mining managers
construction managers;broadMatch;manufacturing, mining, construction, and distribution managers
manufacturing, mining, construction, and distribution managers;narrowMatch;construction managers
manufacturing managers;broadMatch;manufacturing, mining, construction, and distribution managers
manufacturing, mining, construction, and distribution managers;narrowMatch;manufacturing managers
supply, distribution and related managers;broadMatch;manufacturing, mining, construction, and distribution managers
manufacturing, mining, construction, and distribution managers;narrowMatch;supply, distribution and related managers
aged care services managers;broadMatch;professional services managers
professional services managers;narrowMatch;aged care services managers
education managers;broadMatch;professional services managers
car, van and motorcycle drivers;narrowMatch;car, taxi and van drivers
professional services managers;narrowMatch;education managers
professional services managers;narrowMatch;health services managers
child care services managers;broadMatch;professional services managers
professional services managers;narrowMatch;child care services managers
social welfare managers;broadMatch;professional services managers
professional services managers;narrowMatch;social welfare managers
professional services managers not elsewhere classified;broadMatch;professional services managers
professional services managers;narrowMatch;professional services managers not elsewhere classified
financial and insurance services branch managers;broadMatch;professional services managers
professional services managers;narrowMatch;financial and insurance services branch managers
motorcycle drivers;broadMatch;car, van and motorcycle drivers
car, van and motorcycle drivers;narrowMatch;motorcycle drivers
health services managers;broadMatch;professional services managers
medical and pharmaceutical technicians;narrowMatch;pharmaceutical technicians and assistants
legal, social and religious associate professionals;narrowMatch;religious associate professionals
legal, social and religious associate professionals;narrowMatch;social work associate professionals
fumigators and other pest and weed controllers;broadMatch;other craft and related workers
other craft and related workers;narrowMatch;fumigators and other pest and weed controllers
shotfirers and blasters;broadMatch;other craft and related workers
other craft and related workers;narrowMatch;shotfirers and blasters
underwater divers;broadMatch;other craft and related workers
other craft and related workers;narrowMatch;underwater divers
product graders and testers (excluding foods and beverages);broadMatch;other craft and related workers
other craft and related workers;narrowMatch;product graders and testers (excluding foods and beverages)
tailors, dressmakers, furriers and hatters;broadMatch;garment and related trades workers
garment and related trades workers;narrowMatch;tailors, dressmakers, furriers and hatters
shoemakers and related workers;broadMatch;garment and related trades workers
other craft and related workers;narrowMatch;craft and related workers not elsewhere classified
garment and related trades workers;narrowMatch;shoemakers and related workers
garment and related trades workers;narrowMatch;garment and related pattern-makers and cutters
pelt dressers, tanners and fellmongers;broadMatch;garment and related trades workers
garment and related trades workers;narrowMatch;pelt dressers, tanners and fellmongers
sewing, embroidery and related workers;broadMatch;garment and related trades workers
garment and related trades workers;narrowMatch;sewing, embroidery and related workers
upholsterers and related workers;broadMatch;garment and related trades workers
garment and related trades workers;narrowMatch;upholsterers and related workers
fruit, vegetable and related preservers;broadMatch;food processing and related trades workers
food processing and related trades workers;narrowMatch;fruit, vegetable and related preservers
food and beverage tasters and graders;broadMatch;food processing and related trades workers
food processing and related trades workers;narrowMatch;food and beverage tasters and graders
garment and related pattern-makers and cutters;broadMatch;garment and related trades workers
social work associate professionals;broadMatch;legal, social and religious associate professionals
craft and related workers not elsewhere classified;broadMatch;other craft and related workers
teaching professionals not elsewhere classified;broadMatch;other teaching professionals
legal and related associate professionals;broadMatch;legal, social and religious associate professionals
legal, social and religious associate professionals;narrowMatch;legal and related associate professionals
athletes and sports players;broadMatch;sports and fitness workers
sports and fitness workers;narrowMatch;athletes and sports players
fitness and recreation instructors and program leaders;broadMatch;sports and fitness workers
sports and fitness workers;narrowMatch;fitness and recreation instructors and program leaders
sports coaches, instructors and officials;broadMatch;sports and fitness workers
sports and fitness workers;narrowMatch;sports coaches, instructors and officials
primary school teachers;broadMatch;primary school and early childhood teachers
primary school and early childhood teachers;narrowMatch;primary school teachers
early childhood educators;broadMatch;primary school and early childhood teachers
other teaching professionals;narrowMatch;teaching professionals not elsewhere classified
primary school and early childhood teachers;narrowMatch;early childhood educators
other teaching professionals;narrowMatch;information technology trainers
other arts teachers;broadMatch;other teaching professionals
other teaching professionals;narrowMatch;other arts teachers
other language teachers;broadMatch;other teaching professionals
other teaching professionals;narrowMatch;other language teachers
special needs teachers;broadMatch;other teaching professionals
other teaching professionals;narrowMatch;special needs teachers
other music teachers;broadMatch;other teaching professionals
other teaching professionals;narrowMatch;other music teachers
education methods specialists;broadMatch;other teaching professionals
other teaching professionals;narrowMatch;education methods specialists
information technology trainers;broadMatch;other teaching professionals
medical and pathology laboratory technicians;broadMatch;medical and pharmaceutical technicians
medical and pharmaceutical technicians;narrowMatch;medical and pathology laboratory technicians
medical and dental prosthetic technicians;broadMatch;medical and pharmaceutical technicians
drivers and mobile plant operators;narrowMatch;heavy truck and bus drivers
mobile plant operators;broadMatch;drivers and mobile plant operators
drivers and mobile plant operators;narrowMatch;mobile plant operators
locomotive engine drivers and related workers;broadMatch;drivers and mobile plant operators
drivers and mobile plant operators;narrowMatch;locomotive engine drivers and related workers
assemblers;broadMatch;plant and machine operators and assemblers
plant and machine operators and assemblers;narrowMatch;assemblers
drivers and mobile plant operators;broadMatch;plant and machine operators and assemblers
plant and machine operators and assemblers;narrowMatch;drivers and mobile plant operators
stationary plant and machine operators;broadMatch;plant and machine operators and assemblers
plant and machine operators and assemblers;narrowMatch;stationary plant and machine operators
heavy truck and bus drivers;broadMatch;drivers and mobile plant operators
other stationary plant and machine operators;broadMatch;stationary plant and machine operators
wood processing and papermaking plant operators;broadMatch;stationary plant and machine operators
stationary plant and machine operators;narrowMatch;wood processing and papermaking plant operators
chemical and photographic products plant and machine operators;broadMatch;stationary plant and machine operators
stationary plant and machine operators;narrowMatch;chemical and photographic products plant and machine operators
food and related products machine operators;broadMatch;stationary plant and machine operators
stationary plant and machine operators;narrowMatch;food and related products machine operators
rubber, plastic and paper products machine operators;broadMatch;stationary plant and machine operators
stationary plant and machine operators;narrowMatch;rubber, plastic and paper products machine operators
textile, fur and leather products machine operators;broadMatch;stationary plant and machine operators
stationary plant and machine operators;narrowMatch;textile, fur and leather products machine operators
metal processing and finishing plant operators;broadMatch;stationary plant and machine operators
stationary plant and machine operators;narrowMatch;other stationary plant and machine operators
stationary plant and machine operators;narrowMatch;metal processing and finishing plant operators
drivers and mobile plant operators;narrowMatch;car, van and motorcycle drivers
drivers and mobile plant operators;narrowMatch;ships’ deck crews and related workers
textile, fur and leather products machine operators;narrowMatch;laundry machine operators
fibre preparing, spinning and winding machine operators;broadMatch;textile, fur and leather products machine operators
textile, fur and leather products machine operators;narrowMatch;fibre preparing, spinning and winding machine operators
fur and leather preparing machine operators;broadMatch;textile, fur and leather products machine operators
textile, fur and leather products machine operators;narrowMatch;fur and leather preparing machine operators
sewing machine operators;broadMatch;textile, fur and leather products machine operators
textile, fur and leather products machine operators;narrowMatch;sewing machine operators
shoemaking and related machine operators;broadMatch;textile, fur and leather products machine operators
textile, fur and leather products machine operators;narrowMatch;shoemaking and related machine operators
weaving and knitting machine operators;broadMatch;textile, fur and leather products machine operators
textile, fur and leather products machine operators;narrowMatch;weaving and knitting machine operators
car, van and motorcycle drivers;broadMatch;drivers and mobile plant operators
textile, fur and leather products machine operators not elsewhere classified;broadMatch;textile, fur and leather products machine operators
metal finishing, plating and coating machine operators;broadMatch;metal processing and finishing plant operators
metal processing and finishing plant operators;narrowMatch;metal finishing, plating and coating machine operators
metal processing plant operators;broadMatch;metal processing and finishing plant operators
metal processing and finishing plant operators;narrowMatch;metal processing plant operators
electrical and electronic equipment assemblers;broadMatch;assemblers
assemblers;narrowMatch;electrical and electronic equipment assemblers
mechanical machinery assemblers;broadMatch;assemblers
assemblers;narrowMatch;mechanical machinery assemblers
assemblers not elsewhere classified;broadMatch;assemblers
assemblers;narrowMatch;assemblers not elsewhere classified
ships’ deck crews and related workers;broadMatch;drivers and mobile plant operators
textile, fur and leather products machine operators;narrowMatch;textile, fur and leather products machine operators not elsewhere classified
laundry machine operators;broadMatch;textile, fur and leather products machine operators
mining and mineral processing plant operators;broadMatch;stationary plant and machine operators
mineral and stone processing plant operators;broadMatch;mining and mineral processing plant operators
other clerical support workers;narrowMatch;mail carriers and sorting clerks
filing and copying clerks;broadMatch;other clerical support workers
other clerical support workers;narrowMatch;filing and copying clerks
clerical support workers not elsewhere classified;broadMatch;other clerical support workers
other clerical support workers;narrowMatch;clerical support workers not elsewhere classified
personnel clerks;broadMatch;other clerical support workers
other clerical support workers;narrowMatch;personnel clerks
library clerks;broadMatch;other clerical support workers
other clerical support workers;narrowMatch;library clerks
keyboard operators;broadMatch;general and keyboard clerks
general and keyboard clerks;narrowMatch;keyboard operators
mail carriers and sorting clerks;broadMatch;other clerical support workers
secretaries (general);broadMatch;general and keyboard clerks
general office clerks;broadMatch;general and keyboard clerks
general and keyboard clerks;narrowMatch;general office clerks
numerical clerks;broadMatch;numerical and material recording clerks
numerical and material recording clerks;narrowMatch;numerical clerks
material-recording and transport clerks;broadMatch;numerical and material recording clerks
numerical and material recording clerks;narrowMatch;material-recording and transport clerks
other clerical support workers;broadMatch;clerical support workers
clerical support workers;narrowMatch;other clerical support workers
general and keyboard clerks;broadMatch;clerical support workers
clerical support workers;narrowMatch;general and keyboard clerks
numerical and material recording clerks;broadMatch;clerical support workers
general and keyboard clerks;narrowMatch;secretaries (general)
stationary plant and machine operators;narrowMatch;mining and mineral processing plant operators
other clerical support workers;narrowMatch;coding, proof-reading and related clerks
other clerical support workers;narrowMatch;scribes and related workers
mining and mineral processing plant operators;narrowMatch;mineral and stone processing plant operators
miners and quarriers;broadMatch;mining and mineral processing plant operators
mining and mineral processing plant operators;narrowMatch;miners and quarriers
well drillers and borers and related workers;broadMatch;mining and mineral processing plant operators
mining and mineral processing plant operators;narrowMatch;well drillers and borers and related workers
cement, stone and other mineral products machine operators;broadMatch;mining and mineral processing plant operators
mining and mineral processing plant operators;narrowMatch;cement, stone and other mineral products machine operators
contact centre information clerks;broadMatch;client information workers
client information workers;narrowMatch;contact centre information clerks
client information workers not elsewhere classified;broadMatch;client information workers
client information workers;narrowMatch;client information workers not elsewhere classified
coding, proof-reading and related clerks;broadMatch;other clerical support workers
enquiry clerks;broadMatch;client information workers
telephone switchboard operators;broadMatch;client information workers
client information workers;narrowMatch;telephone switchboard operators
travel consultants and clerks;broadMatch;client information workers
client information workers;narrowMatch;travel consultants and clerks
survey and market research interviewers;broadMatch;client information workers
client information workers;narrowMatch;survey and market research interviewers
receptionists (general);broadMatch;client information workers
client information workers;narrowMatch;receptionists (general)
hotel receptionists;broadMatch;client information workers
client information workers;narrowMatch;hotel receptionists
scribes and related workers;broadMatch;other clerical support workers
client information workers;narrowMatch;enquiry clerks
production managers in agriculture, forestry and fisheries;narrowMatch;agricultural and forestry production managers
textile, fur and leather products machine operators;narrowMatch;bleaching, dyeing and fabric cleaning machine operators
rubber, plastic and paper products machine operators;narrowMatch;paper products machine operators
blacksmiths, toolmakers and related trades workers;narrowMatch;metal polishers, wheel grinders and tool sharpeners
metal moulders and coremakers;broadMatch;sheet and structural metal workers, moulders and welders, and related workers
sheet and structural metal workers, moulders and welders, and related workers;narrowMatch;metal moulders and coremakers
welders and flamecutters;broadMatch;sheet and structural metal workers, moulders and welders, and related workers
sheet and structural metal workers, moulders and welders, and related workers;narrowMatch;welders and flamecutters
structural-metal preparers and erectors;broadMatch;sheet and structural metal workers, moulders and welders, and related workers
sheet and structural metal workers, moulders and welders, and related workers;narrowMatch;structural-metal preparers and erectors
riggers and cable splicers;broadMatch;sheet and structural metal workers, moulders and welders, and related workers
sheet and structural metal workers, moulders and welders, and related workers;narrowMatch;riggers and cable splicers
sheet-metal workers;broadMatch;sheet and structural metal workers, moulders and welders, and related workers
sheet and structural metal workers, moulders and welders, and related workers;narrowMatch;sheet-metal workers
metal polishers, wheel grinders and tool sharpeners;broadMatch;blacksmiths, toolmakers and related trades workers
bicycle and related repairers;broadMatch;machinery mechanics and repairers
aircraft engine mechanics and repairers;broadMatch;machinery mechanics and repairers
machinery mechanics and repairers;narrowMatch;aircraft engine mechanics and repairers
motor vehicle mechanics and repairers;broadMatch;machinery mechanics and repairers
machinery mechanics and repairers;narrowMatch;motor vehicle mechanics and repairers
agricultural and industrial machinery mechanics and repairers;broadMatch;machinery mechanics and repairers
machinery mechanics and repairers;narrowMatch;agricultural and industrial machinery mechanics and repairers
apiarists and sericulturists;broadMatch;animal producers
animal producers;narrowMatch;apiarists and sericulturists
poultry producers;broadMatch;animal producers
animal producers;narrowMatch;poultry producers
animal producers not elsewhere classified;broadMatch;animal producers
machinery mechanics and repairers;narrowMatch;bicycle and related repairers
animal producers;narrowMatch;animal producers not elsewhere classified
blacksmiths, toolmakers and related trades workers;narrowMatch;toolmakers and related workers
blacksmiths, toolmakers and related trades workers;narrowMatch;metal working machine tool setters and operators
medical and pharmaceutical technicians;narrowMatch;medical and dental prosthetic technicians
medical imaging and therapeutic equipment technicians;broadMatch;medical and pharmaceutical technicians
medical and pharmaceutical technicians;narrowMatch;medical imaging and therapeutic equipment technicians
medical assistants;broadMatch;other health associate professionals
other health associate professionals;narrowMatch;medical assistants
physiotherapy technicians and assistants;broadMatch;other health associate professionals
other health associate professionals;narrowMatch;physiotherapy technicians and assistants
dental assistants and therapists;broadMatch;other health associate professionals
other health associate professionals;narrowMatch;dental assistants and therapists
environmental and occupational health inspectors and associates;broadMatch;other health associate professionals
other health associate professionals;narrowMatch;environmental and occupational health inspectors and associates
toolmakers and related workers;broadMatch;blacksmiths, toolmakers and related trades workers
health associate professionals not elsewhere classified;broadMatch;other health associate professionals
dispensing opticians;broadMatch;other health associate professionals
other health associate professionals;narrowMatch;dispensing opticians
community health workers;broadMatch;other health associate professionals
other health associate professionals;narrowMatch;community health workers
medical records and health information technicians;broadMatch;other health associate professionals
other health associate professionals;narrowMatch;medical records and health information technicians
ambulance workers;broadMatch;other health associate professionals
other health associate professionals;narrowMatch;ambulance workers
blacksmiths, hammersmiths and forging press workers;broadMatch;blacksmiths, toolmakers and related trades workers
blacksmiths, toolmakers and related trades workers;narrowMatch;blacksmiths, hammersmiths and forging press workers
metal working machine tool setters and operators;broadMatch;blacksmiths, toolmakers and related trades workers
other health associate professionals;narrowMatch;health associate professionals not elsewhere classified
bleaching, dyeing and fabric cleaning machine operators;broadMatch;textile, fur and leather products machine operators
livestock and dairy producers;broadMatch;animal producers
field crop and vegetable growers;broadMatch;market gardeners and crop growers
market-oriented skilled agricultural workers;narrowMatch;market gardeners and crop growers
mixed crop and animal producers;broadMatch;market-oriented skilled agricultural workers
market-oriented skilled agricultural workers;narrowMatch;mixed crop and animal producers
steam engine and boiler operators;broadMatch;other stationary plant and machine operators
other stationary plant and machine operators;narrowMatch;steam engine and boiler operators
packing, bottling and labelling machine operators;broadMatch;other stationary plant and machine operators
other stationary plant and machine operators;narrowMatch;packing, bottling and labelling machine operators
glass and ceramics plant operators;broadMatch;other stationary plant and machine operators
other stationary plant and machine operators;narrowMatch;glass and ceramics plant operators
stationary plant and machine operators not elsewhere classified;broadMatch;other stationary plant and machine operators
other stationary plant and machine operators;narrowMatch;stationary plant and machine operators not elsewhere classified
market gardeners and crop growers;broadMatch;market-oriented skilled agricultural workers
wood processing plant operators;broadMatch;wood processing and papermaking plant operators
pulp and papermaking plant operators;broadMatch;wood processing and papermaking plant operators
wood processing and papermaking plant operators;narrowMatch;pulp and papermaking plant operators
photographic products machine operators;broadMatch;chemical and photographic products plant and machine operators
chemical and photographic products plant and machine operators;narrowMatch;photographic products machine operators
chemical products plant and machine operators;broadMatch;chemical and photographic products plant and machine operators
chemical and photographic products plant and machine operators;narrowMatch;chemical products plant and machine operators
rubber products machine operators;broadMatch;rubber, plastic and paper products machine operators
rubber, plastic and paper products machine operators;narrowMatch;rubber products machine operators
plastic products machine operators;broadMatch;rubber, plastic and paper products machine operators
rubber, plastic and paper products machine operators;narrowMatch;plastic products machine operators
paper products machine operators;broadMatch;rubber, plastic and paper products machine operators
wood processing and papermaking plant operators;narrowMatch;wood processing plant operators
animal producers;narrowMatch;livestock and dairy producers
market-oriented skilled agricultural workers;narrowMatch;animal producers
skilled agricultural, forestry and fishery workers;narrowMatch;market-oriented skilled agricultural workers
market gardeners and crop growers;narrowMatch;field crop and vegetable growers
mixed crop growers;broadMatch;market gardeners and crop growers
market gardeners and crop growers;narrowMatch;mixed crop growers
gardeners, horticultural and nursery growers;broadMatch;market gardeners and crop growers
market gardeners and crop growers;narrowMatch;gardeners, horticultural and nursery growers
tree and shrub crop growers;broadMatch;market gardeners and crop growers
market gardeners and crop growers;narrowMatch;tree and shrub crop growers
forestry and related workers;broadMatch;market-oriented skilled forestry, fishery and hunting workers
market-oriented skilled forestry, fishery and hunting workers;narrowMatch;forestry and related workers
